"Plot65"
"Time (sec)","Acceleration26 (meter/sec**2)"
12.1060000000007,0.146510297803079
12.1080000000007,0.154588967357813
12.1100000000007,0.159175612107674
12.1120000000007,0.161060436734545
12.1140000000007,0.160846543302692
12.1160000000007,0.15886817653965
12.1180000000007,0.155671626842725
12.1200000000007,0.151386566597493
12.1220000000007,0.146408309674167
12.1240000000007,0.140877119719538
12.1260000000007,0.134987834084076
12.1280000000007,0.128885656083913
12.1300000000007,0.122677681614585
12.1320000000007,0.11646452804438
12.1340000000007,0.110318617031599
12.1360000000007,0.104291694117192
12.1380000000007,0.0984215304383639
12.1400000000007,0.0927346929563427
12.1420000000007,0.0872547071674203
12.1440000000007,0.0819944316028452
12.1460000000007,0.0769630043878078
12.1480000000007,0.0721646892654619
12.1500000000007,0.0676016172070489
12.1520000000007,0.0632746009705831
12.1540000000007,0.059177603893615
12.1560000000007,0.0553066564883368
12.1580000000007,0.051656287133047
12.1600000000007,0.0482171712179006
12.1620000000007,0.0449823217119112
12.1640000000007,0.0419430797370097
12.1660000000007,0.0390919056474131
12.1680000000007,0.0364185905061217
12.1700000000007,0.033915196961231
12.1720000000007,0.0315714566041832
12.1740000000007,0.0293799991330164
12.1760000000007,0.0273334047678611
12.1780000000007,0.0254214161157821
12.1800000000007,0.0236364774647212
12.1820000000007,0.021972193819526
12.1840000000007,21.6488865400556
12.1860000000007,3.7260454098856
12.1880000000007,1.21248067018516
12.1900000000007,-0.318514454462104
12.1920000000007,-1.17751883211766
12.1940000000007,-1.60307566300465
12.1960000000007,-1.76145058732742
12.1980000000007,-1.76438282883566
12.2000000000007,-1.68564062962919
12.2020000000007,-1.56852687778061
12.2040000000007,-1.43794396947802
12.2060000000007,-1.30866202053793
12.2080000000007,-1.18786857140326
12.2100000000007,-1.07823289801184
12.2120000000007,-0.981018773311093
12.2140000000007,-0.895101059823213
12.2160000000007,-0.818849594009595
12.2180000000007,-0.751010325355616
12.2200000000008,-0.689739612030778
12.2220000000008,-0.634078189383358
12.2240000000008,-0.582834574840736
12.2260000000008,-0.534390318348482
12.2280000000008,-0.488761842115073
12.2300000000008,-0.446309040916622
12.2320000000008,-0.407107417701395
12.2340000000008,-0.371138148774204
12.2360000000008,-0.33826644723796
12.2380000000008,-0.308292803529399
12.2400000000008,-0.280994158055835
12.2420000000008,-0.256161911208442
12.2440000000008,-0.233576486812215
12.2460000000008,-0.213036311438002
12.2480000000008,-0.19435103334338
12.2500000000008,-0.177343679948664
12.2520000000008,-0.161862898821281
12.2540000000008,-0.147763515760034
12.2560000000008,-0.134910754839763
12.2580000000008,-0.123197177574875
12.2600000000008,-0.112505453645331
12.2620000000008,-0.102749949962434
12.2640000000008,-0.0938429632292839
12.2660000000008,-0.0857071932329467
12.2680000000008,-0.0782735231032002
12.2700000000008,-0.0714786000920674
12.2720000000008,-0.0652656885726046
12.2740000000008,-0.0595845170165312
12.2760000000008,-0.0543863383754569
12.2780000000008,-0.0496343703482618
12.2800000000008,-0.045282267468927
12.2820000000008,-0.0412998116862928
12.2840000000008,-0.0376576601426079
12.2860000000008,-0.0343227598291791
12.2880000000008,-0.0312701277359873
12.2900000000008,-0.0284773075357108
12.2920000000008,-0.0259215956622063
12.2940000000008,-0.0235843273074542
12.2960000000008,-0.0214442749131946
12.2980000000008,-0.0194838302802666
12.3000000000008,-0.0176924274822903
12.3020000000008,-0.0160533889249361
12.3040000000008,-0.0145581278247374
12.3060000000008,-0.0131887912545027
12.3080000000008,-0.0119343925596475
12.3100000000008,-0.0107912806823102
12.3120000000008,-0.00974652925892888
12.3140000000008,-0.00879382292593575
12.3160000000008,-0.00792296347758825
12.3180000000008,-0.00712818313676808
12.3200000000008,-0.00640389510536662
12.3220000000008,-0.00574300089109148
12.3240000000008,-0.00514127803740655
12.3260000000008,-0.0045930296807174
12.3280000000008,-0.00409415663237547
12.3300000000008,-0.0036408043379986
12.3320000000008,-0.0032279377050185
12.3340000000008,-0.0028532345107134
12.3360000000008,-0.00251306099629106
12.3380000000008,-0.00220538601917092
12.3400000000008,-0.00192436080261721
12.3420000000008,-0.00167142183946037
12.3440000000008,-0.00144203234241555
12.3460000000008,-0.00123504451791108
12.3480000000008,-0.00104881328197334
12.3500000000008,-0.000880226193971947
12.3520000000008,-0.000730041332458506
12.3540000000008,-0.00059353083039182
12.3560000000008,-0.000471171375682339
12.3580000000008,-0.00036134117405287
12.3600000000008,-0.000263701272051206
12.3620000000008,-0.000177178694826891
12.3640000000008,-0.00010080148854362
12.3660000000008,-3.18804859069516e-05
12.3680000000008,2.87985098167548e-05
12.3700000000008,8.23404710471043e-05
12.3720000000008,0.000130524158740652
12.3740000000008,0.000170668969934715
12.3760000000008,0.000205679655201352
12.3780000000008,0.000237801249780484
12.3800000000008,0.00094770256639494
12.3820000000008,0.00358585771236807
12.3840000000008,0.00858854209017944
12.3860000000008,0.0161498528593341
12.3880000000008,0.0268652212728401
12.3900000000008,0.0405799460749007
12.3920000000008,0.0588295688211732
12.3940000000008,0.160091833110754
12.3960000000008,0.100770220160313
12.3980000000008,0.0262600581699025
12.4000000000008,-0.0194209407602887
12.4020000000008,-0.0430558666532743
12.4040000000008,-0.0554892909199396
12.4060000000008,-0.0574821509973025
12.4080000000008,-0.0549632909404815
12.4100000000008,-0.0505408405524426
12.4120000000008,-0.0439949310239842
12.4140000000008,-0.0373432713982383
12.4160000000008,-0.0312282177764058
12.4180000000008,-0.0254000838341534
12.4180000000008,-0.0254000838341534
12.4200000000008,-0.020618521304908
12.4220000000008,-0.0159605137727417
12.4240000000008,-0.012886455444071
12.4260000000008,-0.00937582921876778
12.4280000000008,-0.0072985812659465
12.4300000000008,-0.00498283199454159
12.4320000000008,-0.00287192764170257
12.4340000000008,-0.00156875330659242
12.4360000000008,-0.000643819992313765
12.4380000000008,-0.00139777170960147
12.4400000000008,-0.000224972492423935
12.4420000000008,-0.000544056423507534
12.4440000000008,-0.000369144833583834
12.4460000000008,5.91203970156176e-06
12.4480000000008,-0.000226109934391549
12.4500000000008,0.000377158654872091
12.4520000000008,0.000471705789936343
12.4540000000008,-2.99517628313158e-05
12.4560000000008,0.000111456180136079
12.4580000000008,0.000163363767003339
12.4600000000008,0.000178986327927797
12.4620000000008,0.000112178698030048
12.4640000000008,0.00028946746400826
12.4660000000008,1.66925424966644e-05
12.4680000000008,7.57370560777251e-05
12.4700000000008,-1.62659486621121e-06
12.4720000000008,2.32137901786614e-06
12.4740000000008,5.0822010665549e-06
12.4760000000008,-0.000136736260805136
12.4780000000008,-0.00011113478378417
12.4800000000008,-0.000517287998229936
12.4820000000008,0.000308893273963615
12.4840000000008,0.00023567773185088
12.4860000000008,0.000702144833232741
12.4880000000008,0.000825755196877184
12.4900000000008,0.00119078480066907
12.4920000000008,0.000913893552194087
12.4940000000008,0.000878822762256558
12.4960000000008,0.00073281730489222
12.4980000000008,0.000619638483784649
12.5000000000008,-1.80890073501671e-05
12.5020000000008,0.000958440121170654
12.5040000000008,0.00144703915658501
12.5060000000008,0.00161851022239847
12.5080000000008,0.00159651042228286
12.5100000000008,0.0014662752299781
12.5120000000008,0.00129294889891871
12.5120000000008,0.00129294889891871
12.5140000000008,0.00120145306336124
12.5160000000008,0.000650674498847885
12.5180000000008,0.00135766945337638
12.5200000000009,0.0019167913090079
12.5220000000009,0.00194664874084357
12.5240000000009,0.001922688538835
12.5260000000009,0.00175143561294092
12.5280000000009,0.00156088071844411
12.5300000000009,0.00184233728920452
12.5320000000009,0.00172017297495696
12.5340000000009,0.00153457580708233
12.5360000000009,0.00147411991814852
12.5380000000009,0.000694575298763275
12.5400000000009,0.00154673729463238
12.5420000000009,0.00204596219629474
12.5440000000009,0.00157668723355541
12.5460000000009,0.00182850300998238
12.5480000000009,100.702489905911
12.5500000000009,74.8771748659217
12.5520000000009,-1.52552792371474
12.5530000000009,-2.43130105803403
12.5540000000009,-3.1368814362591
12.5560000000009,-4.05618645727352
12.5580000000009,-4.62929269905484
12.5580000000009,-4.62929269905484
12.5600000000009,-4.99244953546438
12.5620000000009,-5.22356502162151
12.5640000000009,-5.36959016358922
12.5660000000009,-5.4595214488192
12.5680000000009,-5.51661622846556
12.5700000000009,-5.55108338948405
12.5720000000009,-5.57294035484496
12.5740000000009,-5.58419682914977
12.5760000000009,-5.5905895232222
12.5780000000009,-5.59363067688818
12.5800000000009,-5.59448224097402
12.5820000000009,-5.59338271423689
12.5840000000009,-5.59185688558998
12.5860000000009,-5.59015117109478
12.5880000000009,-5.58817386487402
12.5900000000009,-5.58568964691846
12.5920000000009,-5.58351858288719
12.5940000000009,-5.58153255241609
12.5960000000009,-5.57913120599172
12.5980000000009,-5.57716210050192
12.6000000000009,-5.57509959640943
12.6020000000009,-5.5732466270417
12.6040000000009,-5.57184491555646
12.6060000000009,-5.56981463601904
12.6080000000009,-5.56846631084903
12.6100000000009,-5.5670002451728
12.6120000000009,-5.56565831606604
12.6140000000009,-5.56446508104693
12.6160000000009,-5.5635812104354
12.6180000000009,-5.56244733479986
12.6200000000009,-5.56150977341261
12.6220000000009,-5.56080382059514
12.6240000000009,-5.56029078929315
12.6260000000009,-5.5595448603535
12.6280000000009,-5.55905974760193
12.6300000000009,-5.55852032946829
12.6320000000009,-5.55830980608872
12.6340000000009,-5.55815388035459
