"Plot64"
"Time (sec)","Velocity30 (meter/sec)"
5.54199999999961,11.0283067934118
5.54399999999961,11.0219724063599
5.54599999999961,11.015650043685
5.54799999999961,11.0093397081345
5.54999999999961,11.0030414021524
5.55199999999961,10.9967551286834
5.55399999999961,10.9904808915476
5.55599999999961,10.9842186948811
5.55799999999961,10.9779685431234
5.55999999999961,10.9717304399203
5.56199999999961,10.9655043891972
5.56399999999961,10.9592903941252
5.56599999999961,10.9530884579791
5.56799999999961,10.946898584216
5.56999999999961,10.9407207764362
5.57199999999961,10.9345550363156
5.57399999999961,10.9284013690315
5.57599999999961,10.9222597793945
5.57799999999961,10.9161302723589
5.57999999999961,10.9100128506234
5.58199999999961,10.9039075171522
5.58399999999961,10.8978142751557
5.58599999999961,10.8917331282219
5.58799999999961,10.88566408013
5.58999999999961,10.879607134719
5.59199999999961,10.873562295618
5.59399999999961,10.8675295665291
5.59599999999961,10.8615089511417
5.59799999999961,10.8555004532304
5.59999999999961,10.8495040765052
5.60199999999961,10.8435198225522
5.6039999999996,10.8375476963252
5.6059999999996,10.8315877011861
5.6079999999996,10.8256398390555
5.6099999999996,10.8197041110891
5.6119999999996,10.8137805208692
5.6139999999996,10.8078690688601
5.6159999999996,10.8019697563811
5.6179999999996,10.7960825861137
5.6199999999996,10.7902075613575
5.6219999999996,10.7843446854859
5.6239999999996,10.7784939617694
5.6259999999996,10.7726553934799
5.6279999999996,10.7668289838384
5.6299999999996,10.7610147359984
5.6319999999996,10.7552126531246
5.6339999999996,10.7494227381443
5.6359999999996,10.7436449944682
5.6379999999996,10.7378794254172
5.6399999999996,10.7321260341898
5.6419999999996,10.7263848239616
5.6439999999996,10.7206557979305
5.6459999999996,10.7149389593156
5.6479999999996,10.7092343112153
5.6499999999996,10.7035418568344
5.6519999999996,10.6978615994037
5.6539999999996,10.6921935423193
5.6559999999996,10.6865376889191
5.6579999999996,10.680894042465
5.6599999999996,10.6752626061862
5.6619999999996,10.6696433833127
5.6639999999996,10.6640363771672
5.6659999999996,10.6584415909456
5.6679999999996,10.6528590279997
5.6699999999996,10.6472886905689
5.6719999999996,10.641730582617
5.6739999999996,10.6361847076136
5.6759999999996,10.6306510684299
5.6779999999996,10.6251296677062
5.6799999999996,10.6196205079908
5.6819999999996,10.6141235919209
5.6839999999996,10.6086389221712
5.6859999999996,10.6031665012113
5.6879999999996,10.5977063315204
5.6899999999996,10.5922584162063
5.6919999999996,10.5868227580953
5.69399999999959,10.5813993592229
5.69599999999959,10.5759882223553
5.69799999999959,10.5705893504253
5.69999999999959,10.5652027463308
5.70199999999959,10.559828412281
5.70399999999959,10.5544663500542
5.70599999999959,10.5491165625466
5.70799999999959,10.5437790531052
5.70999999999959,10.5384538253445
5.71199999999959,10.5331408820038
5.71399999999959,10.5278402257622
5.71599999999959,10.5225518591258
5.71799999999959,10.5172757844666
5.71999999999959,10.512012005019
5.72199999999959,10.5067605235285
5.72399999999959,10.5015213428354
5.72599999999959,10.4962944661823
5.72799999999959,10.4910798968582
5.72999999999959,10.485877636494
5.73199999999959,10.4806876877345
5.73399999999959,10.4755100534442
5.73599999999959,10.4703447366809
