"Plot67"
"Time (sec)","Linear Acceleration5 (meter/sec**2)"
16.7220000000016,-0.684372505917931
16.7240000000016,-0.68392123450067
16.7260000000016,-0.683483324967301
16.7280000000016,-0.683044773424855
16.7300000000016,-0.682610897339822
16.7320000000016,-0.682174544078634
16.7340000000016,-0.681739318039701
16.7360000000016,-0.681304037587925
16.7380000000016,-0.680874722634256
16.7400000000016,-0.680441674520276
16.7420000000016,-0.680008070635735
16.7440000000016,-0.679575779680252
16.7460000000016,-0.679153093657351
16.7480000000016,-0.678732981433425
16.7500000000016,-0.678269029722239
16.7520000000016,-0.677907257473091
16.7540000000016,-0.677444132806544
16.7560000000016,-0.677032615629306
16.7580000000016,-0.676664157498371
16.7600000000016,-0.676202986054156
16.7620000000016,-0.675834703578736
16.7640000000016,-0.675409296689953
16.7660000000016,-0.674950449253956
16.7680000000016,-0.674593305267626
16.7700000000016,-0.674180873967024
16.7720000000016,-0.673766651744146
16.7740000000016,-0.673355662502495
16.7760000000016,-0.672941223948803
16.7780000000016,-0.67254766952182
16.7800000000016,-0.672150258714002
16.7820000000016,-0.671751803485667
16.7840000000016,-0.671343050251777
16.7860000000016,-0.670946861286835
16.7880000000016,-0.670559672808019
16.7900000000016,-0.670156081919363
16.7920000000016,-0.669766410556688
16.7940000000016,-0.669378157930923
16.7960000000016,-0.668988366536896
16.7980000000016,-0.668595878454914
16.8000000000016,-0.668215059632754
16.8020000000016,-0.667827614953582
16.8040000000016,-0.667443384568634
16.8060000000016,-0.667061746359741
16.8080000000016,-0.666679940888198
16.8100000000016,-0.666299860455231
16.8120000000016,-0.665925841229008
16.8140000000016,-0.665550324092414
16.8160000000016,-0.665169125583161
16.8180000000016,-0.664793762633324
16.8200000000016,-0.66442051225158
16.8220000000016,-0.664044901544747
16.8240000000016,-0.663681565793364
16.8260000000016,-0.663309662124165
16.8280000000016,-0.66294137301615
16.8300000000016,-0.662574035994287
16.8320000000015,-0.662208240023681
16.8340000000015,-0.661836786089909
16.8360000000015,-0.661483019671951
16.8380000000015,-0.661122116246462
16.8400000000015,-0.660760775502021
16.8420000000015,-0.660397849643046
16.8440000000015,-0.660045809350941
16.8460000000015,-0.659688661601352
16.8480000000015,-0.659325757866743
16.8500000000015,-0.65898102046017
16.8520000000015,-0.658621451622431
16.8540000000015,-0.658250053705045
16.8560000000015,-0.657930263566759
16.8580000000015,-0.657592937984559
16.8600000000015,-0.657241182795032
16.8620000000015,-0.656892966594733
16.8640000000015,-0.656546126388242
16.8660000000015,-0.656202868464855
16.8680000000015,-0.655863517961795
16.8700000000015,-0.655522158011751
16.8720000000015,-0.6551825692152
16.8740000000015,-0.654844735996118
16.8760000000015,-0.654508068688878
16.8780000000015,-0.654173042131492
16.8800000000015,-0.653843307834282
16.8820000000015,-0.653508955831519
16.8840000000015,-0.653177147033167
16.8860000000015,-0.652845703208523
16.8880000000015,-0.652517040671828
16.8900000000015,-0.65221080913362
16.8920000000015,-0.651880781756879
16.8940000000015,-0.651549093041041
16.8960000000015,-0.651202993711684
16.8980000000015,-0.650882968712308
16.9000000000015,-0.650567511700168
16.9020000000015,-0.650241353928176
16.9040000000015,-0.649932703722819
16.9060000000015,-0.649616292686781
16.9080000000015,-0.649301940298877
16.9100000000015,-0.648989959243159
16.9120000000015,-0.648676909884891
16.9140000000015,-0.64836900741603
16.9160000000015,-0.648055566879159
16.9180000000015,-0.647750461455598
16.9200000000015,-0.647441005848835
16.9220000000015,-0.647133458038524
16.9240000000015,-0.646827326536857
16.9260000000015,-0.646519545650714
16.9280000000015,-0.646228271475495
16.9300000000015,-0.64591552537147
16.9320000000015,-0.645620032284605
16.9340000000015,-0.645320823873059
16.9360000000015,-0.645039022989459
16.9380000000015,-0.644720124659751
16.9400000000015,-0.644421550999229
16.9420000000015,-0.644129947277022
16.9440000000015,-0.64383825133965
16.9460000000015,-0.643552835266096
16.9480000000015,-0.643263277770216
16.9500000000015,-0.6429676785486
16.9520000000015,-0.642683282167217
16.9540000000015,-0.642398835048673
16.9560000000015,-0.642115788052825
16.9580000000015,-0.641832427987792
16.9600000000015,-0.641553734683162
16.9620000000015,-0.641272216579151
16.9640000000015,-0.640990110598632
16.9660000000015,-0.640709257565731
16.9680000000015,-0.640431440678427
16.9700000000015,-0.640158850881974
16.9720000000015,-0.639886318529706
16.9740000000015,-0.63960933607643
16.9760000000015,-0.639337192048325
16.9780000000015,-0.639064832309836
16.9800000000015,-0.63880295052274
16.9820000000015,-0.638531465812636
16.9840000000015,-0.63826131257677
16.9860000000015,-0.637987386465239
16.9880000000015,-0.637724589632228
16.9900000000015,-0.63745048359349
16.9920000000015,-0.637190772345719
16.9940000000015,-0.636937493620499
16.9960000000015,-0.636672836610883
16.9980000000015,-0.636409924261783
17.0000000000015,-0.636153879954256
17.0020000000015,-0.635901793617792
17.0040000000015,-0.635646369625591
17.0060000000015,-0.635391853079216
17.0080000000015,-0.635100206461769
17.0100000000015,-0.634903128814423
17.0120000000014,-0.634645837319021
17.0140000000014,-0.634384837503386
17.0160000000014,-0.634144514712302
17.0180000000014,-0.63383606904844
17.0200000000014,-0.633677793794499
17.0220000000014,-0.633423116925465
17.0240000000014,-0.633156729741062
17.0260000000014,-0.632910244601656
17.0280000000014,-0.632675186632213
17.0300000000014,-0.63243684833339
17.0320000000014,-0.632191395735053
17.0340000000014,-0.631957480239262
17.0360000000014,-0.631720486603128
17.0380000000014,-0.631485428422061
17.0400000000014,-0.631253034385493
17.0420000000014,-0.631016119924565
17.0440000000014,-0.63078539993828
17.0460000000014,-0.630563834349631
17.0480000000014,-0.63033154351262
17.0500000000014,-0.630101337304325
17.0520000000014,-0.629873729571067
17.0540000000014,-0.629647323147128
17.0560000000014,-0.629423155326818
17.0580000000014,-0.629197711105608
17.0600000000014,-0.628976060974357
17.0620000000014,-0.628755116895795
17.0640000000014,-0.62853557505587
17.0660000000014,-0.628317152708723
17.0680000000014,-0.628099846501443
17.0700000000014,-0.627880185469087
17.0720000000014,-0.627663196065547
17.0740000000014,-0.627449154947997
17.0760000000014,-0.627238545617846
17.0780000000014,-0.627036284442712
17.0800000000014,-0.626821238759392
17.0820000000014,-0.626610894050161
17.0840000000014,-0.626400967399581
17.0860000000014,-0.626192879620406
17.0880000000014,-0.625986971985263
17.0900000000014,-0.625781728548035
17.0920000000014,-0.625575336307868
17.0940000000014,-0.625374107713279
17.0960000000014,-0.625179799480999
17.0980000000014,-0.624975739481717
17.1000000000014,-0.624773597601024
17.1020000000014,-0.624574760950091
17.1040000000014,-0.624377577859696
17.1060000000014,-0.624178152490638
17.1080000000014,-0.623983551100048
17.1100000000014,-0.623789821243047
17.1120000000014,-0.623597179839011
17.1140000000014,-0.623405894728547
17.1160000000014,-0.62322537014335
17.1180000000014,-0.623033531509669
17.1200000000014,-0.622837733125423
17.1220000000014,-0.622649132978617
17.1240000000014,-0.622466533242934
17.1260000000014,-0.6222849143653
17.1280000000014,-0.622105087982418
17.1300000000014,-0.621923811983983
17.1320000000014,-0.621747453403515
17.1340000000014,-0.621571629748977
17.1360000000014,-0.62139261580886
17.1380000000014,-0.621216474717644
17.1400000000014,-0.621041939422039
17.1420000000014,-0.620862679599869
17.1440000000014,-0.620672938250512
17.1460000000014,-0.620536110770463
17.1480000000014,-0.620363318957194
17.1500000000014,-0.620196407369846
17.1520000000014,-0.620028659004868
17.1540000000014,-0.619858596662839
17.1560000000014,-0.619695001437236
17.1580000000014,-0.61953254575829
17.1600000000014,-0.619375785037476
17.1620000000014,-0.61921667864825
17.1640000000014,-0.619054719207478
17.1660000000014,-0.618907075973014
17.1680000000014,-0.618742328705245
17.1700000000014,-0.618591653245074
17.1720000000014,-0.618434665324284
17.1740000000014,-0.618278790791079
17.1760000000014,-0.618128192432847
17.1780000000014,-0.617978314390391
17.1800000000014,-0.617832298341832
17.1820000000014,-0.617680639561884
17.1840000000014,-0.617533424428139
17.1860000000014,-0.617388769422216
17.1880000000014,-0.617239423791293
17.1900000000014,-0.617097106118376
17.1920000000014,-0.616956195633578
17.1940000000013,-0.616817352844946
17.1960000000013,-0.616673255771589
17.1980000000013,-0.616537124494115
17.2000000000013,-0.616398283327704
17.2020000000013,-0.616252710590312
17.2040000000013,-0.616117785795186
17.2060000000013,-0.615958847972984
17.2080000000013,-0.615859440138199
17.2100000000013,-0.615718292829625
17.2120000000013,-0.615583989037429
17.2140000000013,-0.615441596100199
17.2160000000013,-0.615313965804227
17.2180000000013,-0.615178669004986
17.2200000000013,-0.615045473914851
17.2220000000013,-0.614910705345303
17.2240000000013,-0.614784836278251
17.2260000000013,-0.614658355102478
17.2280000000013,-0.614532397659275
17.2300000000013,-0.614401797450208
17.2320000000013,-0.614274234069475
17.2340000000013,-0.614139000253607
17.2360000000013,-0.614012220622488
17.2380000000013,-0.613889129369775
17.2400000000013,-0.613762342578521
17.2420000000013,-0.613633675700944
17.2440000000013,-0.613506312800571
17.2460000000013,-0.613373685897578
17.2480000000013,-0.6132477040743
17.2500000000013,-0.613121446938806
17.2520000000013,-0.612994447022361
17.2540000000013,-0.612863647325308
